frame_id;left_hand;right_hand
0;None;None
1;None;None
2;None;None
3;None;None
4;None;None
5;None;None
6;None;None
7;None;None
8;None;None
9;None;None
10;None;None
11;None;None
12;None;None
13;None;None
14;None;None
15;None;None
16;None;None
17;None;None
18;cup 1;None
19;cup 1;None
20;cup 1;None
21;cup 1;None
22;cup 1;None
23;cup 1;cup 2
24;cup 1;cup 2
25;cup 1;cup 2
26;cup 1;cup 2
27;cup 1;cup 2
28;cup 1;cup 2
29;cup 1;cup 2
30;cup 1;cup 2
31;cup 1;cup 2
32;cup 1;cup 2
33;cup 1;cup 2
34;cup 1;cup 2
35;cup 1;cup 2
36;cup 1;cup 2
37;cup 1;cup 2
38;cup 1;cup 2
39;cup 1;cup 2
40;cup 1;cup 2
41;cup 1;cup 2
42;cup 1;cup 2
43;cup 1;cup 2
44;cup 1;cup 2
45;cup 1;cup 2
46;cup 1;cup 2
47;cup 1;cup 2
48;cup 1;cup 2
49;cup 1;cup 2
50;cup 1;cup 2
51;cup 1;cup 2
52;cup 1;cup 2
53;cup 1;cup 2
54;cup 1;cup 2
55;cup 1;cup 2
56;cup 1;cup 2
57;cup 1;cup 2
58;cup 1;cup 2
59;cup 1;cup 2
60;cup 1;cup 2
61;cup 1;cup 2
62;cup 1;cup 2
63;cup 1;cup 2
64;cup 1;cup 2
65;cup 1;cup 2
66;cup 1;cup 2
67;cup 1;cup 2
68;cup 1;cup 2
69;cup 1;cup 2
70;cup 1;cup 2
71;cup 1;cup 2
72;cup 1;cup 2
73;cup 1;cup 2
74;cup 1;cup 2
75;cup 1;cup 2
76;cup 1;cup 2
77;cup 1;cup 2
78;cup 1;cup 2
79;cup 1;cup 2
80;cup 1;cup 2
81;cup 1;cup 2
82;cup 1;cup 2
83;cup 1;cup 2
84;cup 1;cup 2
85;cup 1;cup 2
86;cup 1;cup 2
87;cup 1;cup 2
88;cup 1;cup 2
89;cup 1;cup 2
90;cup 1;cup 2
91;cup 1;cup 2
92;cup 1;cup 2
93;cup 1;cup 2
94;cup 1;cup 2
95;cup 1;cup 2
96;cup 1;cup 2
97;cup 1;cup 2
98;cup 1;cup 2
99;cup 1;cup 2
100;cup 1;cup 2
101;cup 1;cup 2
102;cup 1;cup 2
103;cup 1;cup 2
104;cup 1;cup 2
105;cup 1;cup 2
106;cup 1;cup 2
107;cup 1;cup 2
108;cup 1;cup 2
109;cup 1;cup 2
110;cup 1;cup 2
111;cup 1;cup 2
112;cup 1;cup 2
113;cup 1;cup 2
114;cup 1;cup 2
115;cup 1;cup 2
116;cup 1;cup 2
117;cup 1;cup 2
118;cup 1;cup 2
119;cup 1;cup 2
120;cup 1;cup 2
121;cup 1;cup 2
122;cup 1;cup 2
123;cup 1;cup 2
124;cup 1;cup 2
125;cup 1;cup 2
126;cup 1;cup 2
127;cup 1;cup 2
128;cup 1;cup 2
129;cup 1;cup 2
130;cup 1;cup 2
131;cup 1;cup 2
132;cup 1;cup 2
133;cup 1;cup 2
134;cup 1;cup 2
135;cup 1;cup 2
136;cup 1;cup 2
137;cup 1;cup 2
138;cup 1;cup 2
139;cup 1;cup 2
140;cup 1;cup 2
141;cup 1;cup 2
142;cup 1;cup 2
143;cup 1;cup 2
144;cup 1;cup 2
145;cup 1;cup 2
146;cup 1;cup 2
147;cup 1;cup 2
148;cup 1;cup 2
149;cup 1;cup 2
150;cup 1;cup 2
151;cup 1;cup 2
152;cup 1;cup 2
153;cup 1;cup 2
154;cup 1;cup 2
155;cup 1;cup 2
156;cup 1;cup 2
157;cup 1;cup 2
158;cup 1;cup 2
159;cup 1;cup 2
160;cup 1;cup 2
161;cup 1;cup 2
162;cup 1;cup 2
163;cup 1;cup 2
164;cup 1;cup 2
165;cup 1;cup 2
166;cup 1;cup 2
167;cup 1;cup 2
168;cup 1;cup 2
169;cup 1;cup 2
170;cup 1;cup 2
171;cup 1;cup 2
172;cup 1;cup 2
173;cup 1;cup 2
174;cup 1;cup 2
175;cup 1;cup 2
176;cup 1;cup 2
177;cup 1;cup 2
178;cup 1;cup 2
179;cup 1;cup 2
180;cup 1;cup 2
181;cup 1;cup 2
182;cup 1;cup 2
183;cup 1;cup 2
184;cup 1;cup 2
185;cup 1;cup 2
186;cup 1;cup 2
187;cup 1;cup 2
188;cup 1;cup 2
189;None;None
190;None;None
191;None;None
192;None;None
193;None;None
194;None;None
195;None;None
196;None;None
197;None;None
198;None;None
199;None;None
200;None;None
201;None;None
202;None;None
203;None;None
204;None;None
205;None;None
206;None;None
207;None;None
208;None;None
209;None;None
210;None;None
211;None;None
212;None;None
213;None;None
214;None;None
215;None;None
216;None;None
217;None;None
218;None;None
219;None;None
220;None;None
221;None;None
222;None;None
223;None;None
224;None;None
