frame_id;left_hand;right_hand
0;None;None
1;None;None
2;None;None
3;None;None
4;None;None
5;None;None
6;None;None
7;None;None
8;None;None
9;None;None
10;None;None
11;None;None
12;None;None
13;None;None
14;None;None
15;None;None
16;None;None
17;None;None
18;None;None
19;None;None
20;None;None
21;None;None
22;None;None
23;None;None
24;None;None
25;None;None
26;None;None
27;None;None
28;None;None
29;None;None
30;None;None
31;None;None
32;None;None
33;None;None
34;None;None
35;None;None
36;None;None
37;None;None
38;None;None
39;None;None
40;None;None
41;None;None
42;None;None
43;None;None
44;None;None
45;None;None
46;None;None
47;None;None
48;None;None
49;None;None
50;None;None
51;None;None
52;None;None
53;None;None
54;None;None
55;None;None
56;None;None
57;None;None
58;None;None
59;None;None
60;None;None
61;None;None
62;None;None
63;None;None
64;None;None
65;None;None
66;None;None
67;None;None
68;None;None
69;None;None
70;None;None
71;None;cup
72;None;cup
73;None;cup
74;None;cup
75;None;cup
76;None;cup
77;None;cup
78;None;cup
79;None;cup
80;None;cup
81;None;cup
82;None;cup
83;None;cup
84;None;cup
85;None;cup
86;None;cup
87;None;cup
88;None;cup
89;None;cup
90;None;cup
91;None;cup
92;None;cup
93;None;cup
94;None;cup
95;None;cup
96;None;cup
97;None;cup
98;None;cup
99;None;cup
100;None;cup
101;None;cup
102;None;cup
103;None;cup
104;None;cup
105;None;cup
106;None;cup
107;None;cup
108;None;cup
109;None;cup
110;None;cup
111;None;cup
112;None;cup
113;None;cup
114;None;cup
115;None;cup
116;None;cup
117;None;cup
118;None;cup
119;None;cup
120;None;cup
121;None;cup
122;None;cup
123;None;cup
124;None;cup
125;None;cup
126;None;cup
127;None;cup
128;None;cup
129;None;cup
130;None;cup
131;None;cup
132;None;cup
133;None;cup
134;None;cup
135;None;None
136;None;None
137;None;None
138;None;None
139;None;None
140;None;None
141;None;None
142;None;None
143;None;None
144;None;None
145;None;None
146;None;None
147;None;None
148;None;None
149;None;None
150;None;None
151;None;None
152;None;None
153;None;None
154;None;None
155;None;None
156;None;None
157;None;None
158;None;None
159;None;None
160;None;None
161;None;None
162;None;None
163;None;None
164;None;None
165;None;None
166;None;None
167;None;None
168;None;None
169;None;None
170;None;None
171;None;None
172;None;None
173;None;None
174;None;None
175;None;None
176;None;None
177;None;None
178;None;None
179;None;None
180;None;None
181;None;None
182;None;None
183;None;None
184;None;None
185;None;None
186;None;None
187;None;None
188;None;None
189;None;None
190;None;None
191;None;None
192;None;None
193;None;None
194;None;None
195;None;None
196;None;None
197;None;None
198;None;None
199;None;None
200;None;None
201;None;None
