frame_id;left_hand;right_hand
0;None;None
1;None;None
2;None;None
3;None;None
4;None;None
5;None;None
6;None;None
7;None;None
8;None;None
9;None;None
10;None;None
11;None;None
12;None;None
13;None;None
14;None;None
15;None;None
16;None;None
17;None;None
18;None;None
19;None;None
20;None;None
21;None;None
22;None;None
23;None;None
24;None;None
25;None;None
26;None;None
27;None;None
28;None;None
29;None;None
30;None;None
31;None;None
32;None;None
33;None;None
34;None;None
35;None;None
36;None;None
37;None;None
38;None;None
39;None;None
40;None;None
41;None;None
42;None;None
43;None;None
44;None;None
45;None;None
46;None;None
47;None;None
48;None;None
49;None;None
50;None;None
51;None;None
52;None;None
53;None;None
54;None;None
55;None;None
56;None;None
57;None;None
58;None;None
59;None;None
60;None;None
61;None;None
62;None;None
63;None;None
64;None;None
65;None;None
66;None;None
67;None;None
68;None;None
69;None;None
70;None;None
71;None;None
72;None;None
73;None;None
74;None;None
75;None;None
76;None;None
77;None;None
78;None;None
79;None;None
80;None;None
81;None;None
82;None;None
83;None;None
84;None;None
85;None;None
86;None;None
87;None;None
88;None;cup
89;None;cup
90;None;cup
91;None;cup
92;None;cup
93;None;cup
94;None;cup
95;None;cup
96;None;cup
97;None;cup
98;None;cup
99;None;cup
100;None;cup
101;None;cup
102;None;cup
103;None;cup
104;None;cup
105;None;cup
106;None;cup
107;None;cup
108;None;cup
109;None;cup
110;None;cup
111;None;cup
112;None;cup
113;None;cup
114;None;cup
115;None;cup
116;None;cup
117;None;cup
118;None;cup
119;None;cup
120;None;cup
121;None;cup
122;None;cup
123;None;cup
124;None;cup
125;None;cup
126;None;cup
127;None;cup
128;None;cup
129;None;cup
130;None;cup
131;None;cup
132;None;cup
133;None;cup
134;None;cup
135;None;cup
136;None;cup
137;None;cup
138;None;cup
139;None;cup
140;None;cup
141;None;cup
142;None;cup
143;None;cup
144;None;cup
145;None;cup
146;None;cup
147;None;cup
148;None;cup
149;None;cup
150;None;cup
151;None;cup
152;None;cup
153;None;cup
154;None;cup
155;None;cup
156;None;cup
157;None;cup
158;None;cup
159;None;cup
160;None;cup
161;None;cup
162;None;cup
163;None;cup
164;None;cup
165;None;cup
166;None;cup
167;None;cup
168;None;cup
169;None;cup
170;None;cup
171;None;cup
172;None;cup
173;None;cup
174;None;cup
175;None;None
176;None;None
177;None;None
178;None;None
179;None;None
180;None;None
181;None;None
182;None;None
183;None;None
